algorithm,scenario,feature_set,n_train,n_test,n_features,accuracy,balanced_accuracy,f1_macro,f1_weighted,mcc,kappa,training_time_sec
Logistic Regression,algorithm_level,advanced,365,92,88,0.5978260869565217,0.4206060606060606,0.3070552385556313,0.6495833566344854,0.1516468831023232,0.13340122199592674,0.032953500747680664
Logistic Regression,algorithm_level,basic,365,92,26,0.391304347826087,0.3712554112554113,0.23807331628303494,0.46721431483746617,0.04401309013872885,0.032488262910798094,0.021696090698242188
Logistic Regression,algorithm_level,extended,365,92,38,0.45652173913043476,0.3868398268398268,0.25688141923436036,0.5375187756261925,0.1114487879268525,0.08566885311071348,0.023053407669067383
Logistic Regression,data_level,advanced,485,92,88,0.7717391304347826,0.3606926406926407,0.34270729270729267,0.7678870043000477,0.2179778326747455,0.21717990275526744,0.0400080680847168
Logistic Regression,data_level,basic,485,92,26,0.8478260869565217,0.37887445887445886,0.44144620811287477,0.8240644889195614,0.34463017980957283,0.31707317073170727,0.018119096755981445
Logistic Regression,data_level,extended,485,92,38,0.8478260869565217,0.4429437229437229,0.4658333333333333,0.8262228260869565,0.3813547113078573,0.3667649950835792,0.02492976188659668
Logistic Regression,hybrid,advanced,485,92,88,0.6304347826086957,0.32692640692640695,0.26701298701298704,0.6723320158102767,0.11088115401259739,0.10218140068886339,0.05468153953552246
Logistic Regression,hybrid,basic,485,92,26,0.5978260869565217,0.45800865800865803,0.33532634032634034,0.6544941471571907,0.19256835034949768,0.1669114047968674,0.022268056869506836
Logistic Regression,hybrid,extended,485,92,38,0.5652173913043478,0.37541125541125536,0.28351881144167207,0.6319207370441495,0.13450210368539556,0.11538461538461542,0.03489398956298828
Random Forest,algorithm_level,advanced,365,92,88,0.8369565217391305,0.23740259740259742,0.23917878528656972,0.7773087365641388,0.1526465553944353,0.0944881889763779,0.3463149070739746
Random Forest,algorithm_level,basic,365,92,26,0.8695652173913043,0.3466666666666666,0.4188755020080321,0.8289898725336128,0.42756863153858243,0.30913642052565704,0.3063545227050781
Random Forest,algorithm_level,extended,365,92,38,0.8586956521739131,0.3707359307359307,0.41090909090909095,0.815217391304348,0.35828911445386963,0.284688995215311,0.33929443359375
Random Forest,data_level,advanced,485,92,88,0.8369565217391305,0.2,0.18224852071005918,0.7626704399279649,0.0,0.0,0.33779191970825195
Random Forest,data_level,basic,485,92,26,0.8369565217391305,0.2,0.18224852071005918,0.7626704399279649,0.0,0.0,0.3496406078338623
Random Forest,data_level,extended,485,92,38,0.8369565217391305,0.2,0.18224852071005918,0.7626704399279649,0.0,0.0,0.3457756042480469
Random Forest,hybrid,advanced,485,92,88,0.8369565217391305,0.26406926406926406,0.2820359281437126,0.7780851340796666,0.15433852211813034,0.09567496723460023,0.3267850875854492
Random Forest,hybrid,basic,485,92,26,0.8369565217391305,0.26406926406926406,0.26203592814371257,0.7748242645144493,0.15688673748872517,0.09685863874345557,0.30094385147094727
Random Forest,hybrid,extended,485,92,38,0.8369565217391305,0.26406926406926406,0.26203592814371257,0.7748242645144493,0.15688673748872517,0.09685863874345557,0.358492374420166
SVM RBF,algorithm_level,advanced,365,92,88,0.8152173913043478,0.19480519480519481,0.17964071856287425,0.7517573548555063,-0.03604154780146389,-0.022222222222222143,0.032744646072387695
SVM RBF,algorithm_level,basic,365,92,26,0.8478260869565217,0.3307359307359307,0.3164658634538152,0.7881089575694081,0.27329695086014766,0.19600499375780267,0.023198843002319336
SVM RBF,algorithm_level,extended,365,92,38,0.8152173913043478,0.4203463203463203,0.3888819875776398,0.7801039697542534,0.22512983819789578,0.2093023255813954,0.030170679092407227
SVM RBF,data_level,advanced,485,92,88,0.8369565217391305,0.2,0.18224852071005918,0.7626704399279649,0.0,0.0,0.029903173446655273
SVM RBF,data_level,basic,485,92,26,0.8369565217391305,0.2,0.18224852071005918,0.7626704399279649,0.0,0.0,0.014194488525390625
SVM RBF,data_level,extended,485,92,38,0.8369565217391305,0.2,0.18224852071005918,0.7626704399279649,0.0,0.0,0.020702123641967773
SVM RBF,hybrid,advanced,485,92,88,0.8260869565217391,0.1974025974025974,0.18095238095238095,0.7572463768115942,-0.029817420394485362,-0.013774104683195398,0.04372549057006836
SVM RBF,hybrid,basic,485,92,26,0.8369565217391305,0.2,0.18224852071005918,0.7626704399279649,0.0,0.0,0.024884700775146484
SVM RBF,hybrid,extended,485,92,38,0.8152173913043478,0.19480519480519481,0.17964071856287425,0.7517573548555063,-0.03699896078174358,-0.0228907782864618,0.036123037338256836
