algorithm,scenario,feature_set,n_train,n_test,n_features,accuracy,balanced_accuracy,f1_macro,mcc,kappa,training_time_sec
Logistic Regression,algorithm_level,basic,365,92,26,0.32608695652173914,0.393073593073593,0.21377289377289377,0.08687190615436645,0.05796862097440125,0.020681200083345175
Logistic Regression,algorithm_level,extended,365,92,38,0.358695652173913,0.4008658008658008,0.2418524170326827,0.06604294989325711,0.045878010195113283,0.022510900045745075
Logistic Regression,algorithm_level,advanced,365,92,88,0.5652173913043478,0.41281385281385286,0.2886674049464747,0.16893010783022952,0.1423910510370544,0.03093709994573146
Logistic Regression,data_level,basic,485,92,26,0.8043478260869565,0.29367965367965365,0.3149206349206349,0.13348367310121517,0.12288135593220328,0.02030710002873093
Logistic Regression,data_level,extended,485,92,38,0.8043478260869565,0.25627705627705627,0.24471544715447155,0.060882453218240824,0.05154639175257736,0.025142399943433702
Logistic Regression,data_level,advanced,485,92,88,0.75,0.24329004329004328,0.2232484076433121,0.06309852318239845,0.06247230837394768,0.03716459998395294
Logistic Regression,hybrid,basic,485,92,26,0.4891304347826087,0.3198268398268398,0.23559290382819792,0.05539642725002843,0.04547461368653405,0.028841199935413897
Logistic Regression,hybrid,extended,485,92,38,0.5978260869565217,0.4206060606060606,0.323411513859275,0.1549329632966834,0.1366979457266041,0.03596989996731281
Logistic Regression,hybrid,advanced,485,92,88,0.5760869565217391,0.2765367965367965,0.22782805429864253,0.05717125879770532,0.05129561078794309,0.048904400086030364
Random Forest,algorithm_level,basic,365,92,26,0.8695652173913043,0.41073593073593073,0.46917537746806043,0.43245296574881104,0.3669724770642203,0.3215955999912694
Random Forest,algorithm_level,extended,365,92,38,0.8586956521739131,0.40813852813852813,0.44119193689745834,0.38534155540078935,0.3421342134213421,0.3343652000185102
Random Forest,algorithm_level,advanced,365,92,88,0.8478260869565217,0.24,0.25,0.24450284723477994,0.112947658402204,0.33246999990660697
Random Forest,data_level,basic,485,92,26,0.8260869565217391,0.1974025974025974,0.18095238095238095,-0.029817420394485362,-0.01377410468319562,0.30476710002403706
Random Forest,data_level,extended,485,92,38,0.8369565217391305,0.2,0.18224852071005918,0.0,0.0,0.3373122999910265
Random Forest,data_level,advanced,485,92,88,0.8369565217391305,0.2,0.18224852071005918,0.0,0.0,0.34899969992693514
Random Forest,hybrid,basic,485,92,26,0.8369565217391305,0.26406926406926406,0.2820359281437126,0.15433852211813034,0.09567496723460023,0.30971810000482947
Random Forest,hybrid,extended,485,92,38,0.8260869565217391,0.26147186147186147,0.26072289156626505,0.11099274663338911,0.07999999999999996,0.39043660007882863
Random Forest,hybrid,advanced,485,92,88,0.8369565217391305,0.2,0.18224852071005918,0.0,0.0,0.33804109995253384
SVM RBF,algorithm_level,basic,365,92,26,0.8369565217391305,0.42554112554112555,0.39588080631025413,0.27709582618607825,0.24424972617743712,0.026366200065240264
SVM RBF,algorithm_level,extended,365,92,38,0.8152173913043478,0.4203463203463203,0.36333333333333334,0.25092843233957646,0.23781676413255348,0.029865600052289665
SVM RBF,algorithm_level,advanced,365,92,88,0.8369565217391305,0.2,0.18224852071005918,0.0,0.0,0.039440399967134
SVM RBF,data_level,basic,485,92,26,0.8369565217391305,0.2,0.18224852071005918,0.0,0.0,0.01465020002797246
SVM RBF,data_level,extended,485,92,38,0.8369565217391305,0.2,0.18224852071005918,0.0,0.0,0.022153400001116097
SVM RBF,data_level,advanced,485,92,88,0.8369565217391305,0.2,0.18224852071005918,0.0,0.0,0.027675400022417307
SVM RBF,hybrid,basic,485,92,26,0.8369565217391305,0.2,0.18224852071005918,0.0,0.0,0.02408489992376417
SVM RBF,hybrid,extended,485,92,38,0.8369565217391305,0.2,0.18224852071005918,0.0,0.0,0.026515499921515584
SVM RBF,hybrid,advanced,485,92,88,0.8260869565217391,0.1974025974025974,0.18095238095238095,-0.026835678355036825,-0.012379642365887289,0.03972000000067055
